pl_name,pl_orbper,pl_rade,st_teff,pl_orbsmax,pl_insol,pl_eqt,log_orbper,log_insol,radius_earth_ratio,hz_proximity,habitable
Gliese 12 b,12.761408,0.958,3296.0,0.0668,1.62,314.6,2.621868152851688,0.9631743177730056,0.958,0.3294117647058823,1
Gliese 12 b,12.76142,0.9,3253.0,0.067,1.6,315.0,2.6218690248551026,0.9555114450274363,0.9,0.3529411764705882,1
HAT-P-11 b,4.887803076,4.82,4778.0,0.053,96.67,800.0,1.7728829358944533,4.581594449459386,4.82,0.0,0
HAT-P-11 b,4.887802706,4.84,4777.0,0.053,97.1,801.0,1.772882873052676,4.585987366571318,4.84,0.0,0
HAT-P-11 b,4.887802706,4.84,4777.0,0.053,97.1,801.0,1.772882873052676,4.585987366571318,4.84,0.0,0
HAT-P-11 b,4.887802706,4.84,4777.0,0.053,97.1,801.0,1.772882873052676,4.585987366571318,4.84,0.0,0
HAT-P-19 b,4.00878322,11.29865255,4962.0,0.04599,154.0,981.2,1.6111930153395346,5.043425116919247,11.29865255,0.0,0
HAT-P-25 b,3.65281514,12.722215,5519.0,0.0466,325.0,1182.0,1.5374724428663225,5.786897381366708,12.722215,0.0,0
HAT-P-29 b,5.72339,11.926376,6115.0,0.0665,433.0,1271.0,1.9055924916214413,6.073044534100405,11.926376,0.0,0
HAT-P-32 b,2.1500082,22.19382,6001.0,0.03397,1841.0,1835.7,1.1474050560087565,7.518607216815252,22.19382,0.0,0
HAT-P-36 b,1.3273466,15.210613,5560.0,0.02402,1821.0,1820.2,0.8447288203708737,7.507690077819904,15.210613,0.0,0
HAT-P-51 b,4.21802091,13.50682174,5453.0,0.05042,310.0,1168.2,1.6521181939889913,5.739792912179234,13.50682174,0.0,0
HAT-P-55 b,3.5852313,14.84069045,5804.0,0.04628,583.0,1367.0,1.5228405515461572,6.369900982828227,14.84069045,0.0,0
HAT-P-58 b,4.0138379,14.93036229,6078.0,0.04994,1146.0,1622.0,1.6122016697360297,7.044905117129371,14.93036229,0.0,0
HAT-P-59 b,4.1419771,12.58768533,5678.0,0.05064,441.4,1277.8,1.6374376553137497,6.092214450208125,12.58768533,0.0,0
HAT-P-60 b,4.7947813,18.28184752,6212.0,0.06277,1634.0,1772.0,1.7569577366490212,7.399398083331354,18.28184752,0.0,0
HAT-P-61 b,1.90231289,10.07687365,5587.0,0.0301,849.5,1505.0,1.0655079673956656,6.745824411835916,10.07687365,0.0,0
HAT-P-62 b,2.6453235,12.02723629,5629.0,0.03772,867.2,1512.0,1.2934451132370988,6.766422102865493,12.02723629,0.0,0
HAT-P-63 b,3.377728,12.5428494,5400.0,0.04294,387.4,1237.0,1.4765298683446477,5.96203573641717,12.5428494,0.0,0
HAT-P-64 b,4.007232,19.08889413,6457.0,0.05387,1611.0,1766.0,1.6108832674051856,7.385230923066573,19.08889413,0.0,0
HAT-P-65 b,2.60544751,18.05766791,5872.0,0.04042,1821.0,1818.0,1.2824458989550165,7.507690077819904,18.05766791,0.0,0
HAT-P-68 b,2.29840551,12.016048,4508.0,0.02996,184.8,1027.8,1.1934391729160703,5.224670826379739,12.016048,0.0,0
HAT-P-7 b,2.204735365,16.39,6350.0,0.0381,3973.7,2025.0,1.164629517540814,8.287704552542188,16.39,0.0,0
HAT-P-7 b,2.204735365,16.39,6350.0,0.0381,3973.7,2025.0,1.164629517540814,8.287704552542188,16.39,0.0,0
HAT-P-7 b,2.204735365,16.39,6350.0,0.0381,3973.7,2025.0,1.164629517540814,8.287704552542188,16.39,0.0,0
HAT-P-7 b,2.204735417,16.1,6440.0,0.0376,4148.92,2048.0,1.1646295337668027,8.330844335930504,16.1,0.0,0
HAT-P-9 b,3.92281072,15.614137,6350.0,0.05287,931.0,1540.0,1.5938796519361649,6.837332814685591,15.614137,0.0,0
HATS-17 b,16.254611,8.709393,5846.0,0.1308,72.7,814.0,2.848079412105753,4.300002799195291,8.709393,0.0,0
HATS-18 b,0.8378434,14.986433,5600.0,0.01761,2990.0,2060.0,0.6085928189978907,8.003363058629947,14.986433,0.0,0
